Zeile;Typ;Steuer-Kategorie;Transaktions-Datum;Asset;Anzahl;Kaufdatum;Kaufpreis (€)/Stk;Verkaufsdatum;Verkaufspreis (€)/Stk;Gesamtkosten (€);Gesamterlös (€);Gebühr (€);Gewinn / Verlust (€);Haltedauer (Tage);Haltedauer > 1 Jahr;Steuerpflichtig;Steuergrund;FIFO-Details;Notizen
1;SPEND;Privates Veräußerungsgeschäft (§23 EStG);2024-01-04;ETH;1.00000000;;;2024-01-04;2074.5600;1495.84;2074.56;0.00;578.72;179;Nein;Ja;Haltedauer <= 1 Jahr, steuerpflichtig;Lot 1: 0.26246719 von Ref L6J6C3-ZTK7A-7TIMDK (Kauf 2023-04-18 @ 1916.0100 €/Stk, Haltedauer: 261 Tage) | Lot 2: 0.58799293 von Ref LB2APU-M645J-SYYVNG (Kauf 2023-08-14 @ 1688.7100 €/Stk, Haltedauer: 143 Tage);WARNING: Insufficient holdings to cover full disposal of 1.0000000000 ETH. Short by 0.14953988.
2;SPEND;Privates Veräußerungsgeschäft (§23 EStG);2024-01-10;ADA;1356.25396900;;;2024-01-10;0.5156;516.97;699.27;0.00;182.30;266;Nein;Ja;Haltedauer <= 1 Jahr, steuerpflichtig;Lot 1: 15.00000000 von Ref TQP4L3-Q5R2O-4CQ3U4 (Kauf 2023-04-19 @ 0.3814 €/Stk, Haltedauer: 266 Tage) | Lot 2: 15.00000000 von Ref LDCCD6-I3JHH-IJMLOU (Kauf 2023-04-19 @ 0.3804 €/Stk, Haltedauer: 266 Tage) | Lot 3: 1033.77869720 von Ref TFJXYS-7T7L5-KEYW5E (Kauf 2023-04-19 @ 0.3814 €/Stk, Haltedauer: 266 Tage) | Lot 4: 292.47527180 von Ref L6U3YH-W2DT5-5BJRKV (Kauf 2023-04-19 @ 0.3804 €/Stk, Haltedauer: 266 Tage);
3;SPEND;Privates Veräußerungsgeschäft (§23 EStG);2024-05-09;AVAX;15.84977000;;;2024-05-09;32.3800;0.00;513.22;0.00;513.22;0;Nein;Nein;Haltedauer > 1 Jahr, steuerfrei;N/A;ERROR: No prior holdings found for AVAX to cover disposal.
4;SPEND;Privates Veräußerungsgeschäft (§23 EStG);2024-05-23;ETH;0.45161000;;;2024-05-23;3497.0800;0.00;1579.32;0.00;1579.32;0;Nein;Nein;Haltedauer > 1 Jahr, steuerfrei;N/A;ERROR: No prior holdings found for ETH to cover disposal.
5;SPEND;Privates Veräußerungsgeschäft (§23 EStG);2024-05-23;ADA;452.08465700;;;2024-05-23;0.4308;171.98;194.75;0.00;22.77;400;Ja;Nein;Haltedauer > 1 Jahr, steuerfrei;Lot 1: 452.08465700 von Ref L6U3YH-W2DT5-5BJRKV (Kauf 2023-04-19 @ 0.3804 €/Stk, Haltedauer: 400 Tage);
6;SPEND;Privates Veräußerungsgeschäft (§23 EStG);2024-05-23;ARB;172.56000000;;;2024-05-23;1.1124;151.88;191.96;0.00;40.08;401;Ja;Nein;Haltedauer > 1 Jahr, steuerfrei;Lot 1: 50.00000000 von Ref T6WBV3-XPEJ7-UU4RSR (Kauf 2023-04-18 @ 1.5223 €/Stk, Haltedauer: 401 Tage) | Lot 2: 50.00000000 von Ref LQ23RC-J74M5-Z4VAXM (Kauf 2023-04-18 @ 1.5153 €/Stk, Haltedauer: 401 Tage);WARNING: Insufficient holdings to cover full disposal of 172.56000 ARB. Short by 72.56000000.

--- Steuerliche Zusammenfassung ---
Steuerjahr:;2024

Private Veräußerungsgeschäfte (§23 EStG):
Gesamtgewinne:;761.03
Gesamtverluste:;0.00
Nettobetrag (§23):;761.03
Freigrenze (§23):;1000.00
Steuerpflichtig (§23):;Nein

Sonstige Einkünfte (§22 Nr. 3 EStG):
Gesamteinkünfte (z.B. Staking):;0.00
Freigrenze (§22):;256.00
Steuerpflichtig (§22):;Nein
