Timestamp;Event;Details
2025-04-02 22:11:16.444;Start;Crypto Tax Calculator starting for tax year 2024
2025-04-02 22:11:16.445;API Fetch;Fetching data up to 2024-12-31 23:59:59+00:00
2025-04-02 22:11:17.368;Processing;Starting transaction processing for tax year 2024...
2025-04-02 22:11:17.368;Processing;Sorted 58 raw transactions.
2025-04-02 22:11:17.370;Processing;Standardized 58 transactions and attempted EUR valuation.
2025-04-02 22:11:17.370;Processing Skip;Skipping tx LXH63E-6FB5E-UIBU5B due to missing EUR value.
2025-04-02 22:11:17.370;Processing Skip;Skipping tx LTG7BB-IDTLJ-V5H5XO due to missing EUR value.
2025-04-02 22:11:17.370;Processing Skip;Skipping tx LIBGPF-QNPQG-J3ITFA due to missing EUR value.
2025-04-02 22:11:17.370;Processing Skip;Skipping tx L6VWSP-7KEAK-K6LRRY due to missing EUR value.
2025-04-02 22:11:17.370;Processing Skip;Skipping tx LB6CIB-QVOBP-AYDZIH due to missing EUR value.
2025-04-02 22:11:17.375;Processing;Generated 7 report entries for tax year 2024.
2025-04-02 22:11:17.375;Aggregation;Aggregated results: Net Sales(§23)=761.03€, Other Income(§22)=0.00€
